GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
53061,2008,Snohomish County,Washington,673709,5.59,85347,31.93,960,64780,330400,29,78.2,2.07,7.03,1.06,7.87,0.32,3.28,0.17,2166,1057,1.24,2.54,1,0,0
53061,2014,Snohomish County,Washington,746653,6.84,95168,34.03,1153,70722,293000,30,72.48,2.46,9.53,0.86,9.44,0.44,4.69,0.1,2053,959,1.01,2.16,1,0,0
53061,2015,Snohomish County,Washington,746653,6.84,96819,34.03,1153,70722,293000,30,72.48,2.46,9.53,0.86,9.44,0.44,4.69,0.1,2126,1470,1.52,2.2,1,0,0
53065,2006,Stevens County,Washington,41733,10.08,3614,20.29,572,41859,168300,27.4,88.24,0.49,2.62,4.96,0.83,0.07,2.71,0.1,14,14,0.39,0.39,1,0,0
53065,2012,Stevens County,Washington,43548,13,3951,24.97,672,41978,172600,31.3,87.23,0.49,3.25,4.77,0.6,0,3.64,0.02,27,15,0.38,0.68,1,0,0
53065,2013,Stevens County,Washington,43548,13,4009,24.97,672,41978,172600,31.3,87.23,0.49,3.25,4.77,0.6,0,3.64,0.02,32,16,0.4,0.8,1,0,0
53067,2004,Thurston County,Washington,207355,8.84,29785,33.39,655,46975,145200,26.5,83.41,2.27,4.53,1.39,4.36,0.5,3.26,0.28,505,260,0.87,1.7,1,0,0
53067,2005,Thurston County,Washington,239248,6.9,30417,31.7,900,59453,248700,30.1,80.88,2.75,5.95,1.36,5.05,0.53,3.22,0.28,532,318,1.05,1.75,1,0,0
53067,2006,Thurston County,Washington,239248,6.9,31050,31.7,900,59453,248700,30.1,80.88,2.75,5.95,1.36,5.05,0.53,3.22,0.28,455,267,0.86,1.47,1,0,0
53069,2006,Wahkiakum County,Washington,3975,2.15,338,25.84,528,39226,195200,30.9,93.21,0,2.77,1.13,0.23,0,2.67,0,1,1,0.3,0.3,0,0,0
53069,2007,Wahkiakum County,Washington,3975,2.15,341,25.84,528,39226,195200,30.9,93.21,0,2.77,1.13,0.23,0,2.67,0,2,1,0.29,0.59,0,0,0
53069,2008,Wahkiakum County,Washington,3975,2.15,345,25.84,528,39226,195200,30.9,93.21,0,2.77,1.13,0.23,0,2.67,0,3,3,0.87,0.87,0,0,0
53069,2009,Wahkiakum County,Washington,3975,2.15,348,25.84,528,39226,195200,30.9,93.21,0,2.77,1.13,0.23,0,2.67,0,2,1,0.29,0.57,0,0,0
53069,2010,Wahkiakum County,Washington,3978,12.77,352,20.26,554,45335,191500,42.9,92.46,0.2,2.71,1.21,0.55,0.15,2.61,0.1,1,1,0.28,0.28,0,0,0
53069,2011,Wahkiakum County,Washington,4035,10.84,356,21.21,653,44485,178400,45.4,89.34,0.12,4.34,1.54,1.14,0,3.52,0,1,1,0.28,0.28,0,0,0
53069,2012,Wahkiakum County,Washington,4035,10.84,360,21.21,653,44485,178400,45.4,89.34,0.12,4.34,1.54,1.14,0,3.52,0,1,1,0.28,0.28,0,0,0
53069,2013,Wahkiakum County,Washington,4035,10.84,365,21.21,653,44485,178400,45.4,89.34,0.12,4.34,1.54,1.14,0,3.52,0,3,1,0.27,0.82,0,0,0
53069,2014,Wahkiakum County,Washington,4035,10.84,369,21.21,653,44485,178400,45.4,89.34,0.12,4.34,1.54,1.14,0,3.52,0,2,2,0.54,0.54,0,0,0
53069,2015,Wahkiakum County,Washington,4035,10.84,373,21.21,653,44485,178400,45.4,89.34,0.12,4.34,1.54,1.14,0,3.52,0,4,3,0.8,1.07,0,0,0
53071,2002,Walla Walla County,Washington,55180,15.06,7055,34.76,487,35900,114300,28.3,78.84,1.57,15.68,0.72,1.09,0.21,1.7,0.19,101,58,0.82,1.43,1,0,0
53071,2005,Walla Walla County,Washington,57795,13.33,7393,37.23,639,44282,182700,30.5,76.22,1.38,18.18,0.82,1.64,0.18,1.42,0.16,110,79,1.07,1.49,1,0,0
53071,2007,Walla Walla County,Washington,57795,13.33,7619,37.23,639,44282,182700,30.5,76.22,1.38,18.18,0.82,1.64,0.18,1.42,0.16,83,68,0.89,1.09,1,0,0
53071,2008,Walla Walla County,Washington,57795,13.33,7731,37.23,639,44282,182700,30.5,76.22,1.38,18.18,0.82,1.64,0.18,1.42,0.16,63,47,0.61,0.81,1,0,0
53071,2009,Walla Walla County,Washington,57795,13.33,7844,37.23,639,44282,182700,30.5,76.22,1.38,18.18,0.82,1.64,0.18,1.42,0.16,73,51,0.65,0.93,1,0,0
53075,2006,Whitman County,Washington,41793,12.09,8922,53.3,635,32403,168500,47.9,83.29,2.09,4.09,0.61,6.98,0.36,2.48,0.1,42,21,0.24,0.47,1,0,0
53075,2010,Whitman County,Washington,44776,13.72,9566,54.76,683,34169,186400,48,82.1,1.61,4.56,0.61,7.7,0.22,3.11,0.09,,,,,0,0,0
53075,2011,Whitman County,Washington,46737,12.12,9736,55.53,695,36631,181800,41.3,80.31,2.12,5.39,0.44,7.53,0.24,3.82,0.16,,,,,0,0,0
53075,2013,Whitman County,Washington,46737,12.12,10075,55.53,695,36631,181800,41.3,80.31,2.12,5.39,0.44,7.53,0.24,3.82,0.16,,,,,0,0,0
53075,2014,Whitman County,Washington,46737,12.12,10244,55.53,695,36631,181800,41.3,80.31,2.12,5.39,0.44,7.53,0.24,3.82,0.16,,,,,0,0,0
53075,2015,Whitman County,Washington,46737,12.12,10414,55.53,695,36631,181800,41.3,80.31,2.12,5.39,0.44,7.53,0.24,3.82,0.16,,,,,0,0,0
