OBJECTID,GEOID10,TRACT,NAME10,ACRES_TOTAL,ACRES_LAND,ACRES_WATER,GEO_TYPE,Total_Population,Population_Not_Hispanic_or_Latino,Population_Hispanic_or_Latino,Pop_Not_Hispanic_White_alone,Pop_Not_Hispanic_Black_or_African_American_alone,Pop_Not_Hispanic_American_Indian_and_Alaska_Native_alone,Pop_Not_Hispanic_Asian_alone,Pop_Not_Hispanic_Native_Hawaiian_and_Oth_Pacific_Islander_alone,Pop_Not_Hispanic_Some_Other_Race_alone,Pop_Not_Hispanic_Two_or_More_Races,Pop_Hispanic_White_alone,Pop_Hispanic_Black_or_African_American_alone,Pop_Hispanic_American_Indian_and_Alaska_Native_alone,Pop_Hispanic_Asian_alone,Pop_Hispanic_Native_Hawaiian_and_Oth_Pacific_Islander_alone,Pop_Hispanic_Some_Other_Race_alone,Pop_Hispanic_Two_or_More_Races,Total_races_tallied,White_alone_or_in_combination,Black_or_African_American_alone_or_in_combination,American_Indian_and_Alaska_Native_alone_or_in_combination,Asian_alone_or_in_combination,Native_Hawaiian_and_Oth_Pacific_Islander_alone_or_combination,Some_Other_Race_alone_or_combination,Population_of_one_race,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_Other_Race_alone,Two_or_More_Races,Population_of_two_races,White_Black_or_African_American,White_American_Indian_and_Alaska_Native,White_Asian,White_Native_Hawaiian_and_Other_Pacific_Islander,White_Some_Other_Race,Black_or_African_Amer_Amer_Indian_and_Alaska_Native,Black_or_African_American_Asian,Black_or_African_Amer_Native_Hawaiian_and_Oth_Pacific_Islander,Black_or_African_American_Some_Other_Race,American_Indian_and_Alaska_Native_Asian,Amer_Indian_and_Alaska_Nat_Nat_Hawaiian_and_Oth_Pacific_Islder,American_Indian_and_Alaska_Native_Some_Other_Race,Asian_Native_Hawaiian_and_Other_Pacific_Islander,Asian_Some_Other_Race,Native_Hawaiian_and_Other_Pacific_Islander_Some_Other_Race,Population_of_three_races,White_Black_or_African_Amer_Amer_Indian_and_Alaska_Native,White_Black_or_African_American_Asian,White_Black_or_African_Amer_Nat_Hawaiian_and_Oth_Pacific_Islder,White_Black_or_African_American_Some_Other_Race,White_American_Indian_and_Alaska_Native_Asian,White_Amer_Indian_Alaska_Nat_Nat_Hawaiian_and_Oth_Pacific_Islder,White_American_Indian_and_Alaska_Native_Some_Other_Race,White_Asian_Native_Hawaiian_and_Other_Pacific_Islander,White_Asian_Some_Other_Race,White_Native_Hawaiian_and_Other_Pacific_Islander_Some_Other_Race,Black_American_Indian_and_Alaska_Native_Asian,Black_Amer_Indian_Alaska_Nat_Hawaiian_Othr_Pacific_Isldr,Black_American_Indian_and_Alaska_Native_Some_Other_Race,Black_Asian_Native_Hawaiian_and_Other_Pacific_Islander,Black_or_African_American_Asian_Some_Other_Race,Black__Native_Hawaiian_and_Other_Pacific_Isldr_Some_Other_Race,American_Indian_Alaska_Native_Hawaiian_and_Othr_Pacific_Isldr,American_Indian_and_Alaska_Native_Asian_Some_Other_Race,Amer_Indian_Alska_Nat_Hawaiian_Othr_Pacific_Isldr_Some_Othr_Race,Asian_Native_Hawaiian_Other_Pacific_Islander_Some_Other_Race,Population_of_four_races,White_Black_African_Amer_Amer_Indian_and_Alaska_Native_Asian,White_Black_Amer_Indian_Alaska_Nat_Hawaii_and_Othr_Pacific_Isldr,White_Black_Amer_Indian_and_Alaska_Native_Some_Other_Race,White_Black_Asian_Native_Hawaiian_and_Other_Pacific_Islander,White_Black_or_African_American_Asian_Some_Other_Race,White_Black_Native_Hawaiian_Othr_Pacific_Isldr_Some_Other_Race,White_Amer_Indian_Alska_Nat_Asian_Nat_Hawaii_Othr_Pacific_Isldr,White_American_Indian_and_Alaska_Native_Asian_Some_Other_Race,White_Amer_Indian_Alska_Nat_Hawaii_Othr_Pacific_Islder_Some_Othr,White_Asian_Nat_Hawaiian_Othr_Pacific_Isldr_Some_Other_Race,Black_Amer_Indian_Alaska_Nat_Asian_Nat_Hawaii_Othr_Pacific_Isldr,Black_Amer_Indian_Alaska_Native_Asian_Some_Other_Race,Black_Amer_Indian_Alska_Nat_Hawaii_Othr_Pacific_Isldr_Some_Othr,Black_Asian_Native_Hawaiian_and_Other_Pacific_Isldr_Some_Other,Amer_Indian_Alska_Nat_Asian_Nat_Hawaii_Othr_Pcfc_Isldr_Some_Othr,Population_of_five_races,White_Black_Amer_Indian_Alska_Nat_Asian_Nat_Hawaii_Pcfc_Isldr,White_Black_Amer_Indian_Alaska_Native_Asian_Some_Other,White_Black_Amer_Indian_Alska_Nat_Hawaii_Pcfc_Isldr_Some_Othr,White_Black_Asian_Nat_Hawaiian_Other_Pacific_Isldr_Some_Other,White_Amer_Indn_Alska_Nat_Asian_Nat_Hawaii_Pcfc_Isldr_Some_Othr,Black_Amer_Indn_Alska_Nat_Asian_Nat_Hawaii_Pcfc_Isldr_Some_Othr,Population_of_six_races,White_Black_Amer_Indn_Alska_Nat_Asian_Hawaii_Pcfc_Isldr_Some_Oth,Median_Age,Median_Age_Male,Median_Age_Female,Male,Male_under_5_years,Male_5_to_9_years,Male_10_to_14_years,Male_15_to_17_years,Male_18_and_19_years,Male_20_years,Male_21_years,Male_22_to_24_years,Male_25_to_29_years,Male_30_to_34_years,Male_35_to_39_years,Male_40_to_44_years,Male_45_to_49_years,Male_50_to_54_years,Male_55_to_59_years,Male_60_and_61_years,Male_62_to_64_years,Male_65_and_66_years,Male_67_to_69_years,Male_70_to_74_years,Male_75_to_79_years,Male_80_to_84_years,Male_85_years_and_over,Female,Female_under_5_years,Female_5_to_9_years,Female_10_to_14_years,Female_15_to_17_years,Female_18_and_19_years,Female_20_years,Female_21_years,Female_22_to_24_years,Female_25_to_29_years,Female_30_to_34_years,Female_35_to_39_years,Female_40_to_44_years,Female_45_to_49_years,Female_50_to_54_years,Female_55_to_59_years,Female_60_and_61_years,Female_62_to_64_years,Female_65_and_66_years,Female_67_to_69_years,Female_70_to_74_years,Female_75_to_79_years,Female_80_to_84_years,Female_85_years_and_over,Male_Age_5_to_17,Female_Age_5_to_17,Male_Age_65_and_over,Female_Age_65_and_over,Male_White,Female_White,Male_White_under_5_years,Female_White_under_5_years,Male_White_5_17_years,Female_White_5_17_years,Male_White_65_and_over,Female_White_65_and_over,Male_Person_of_Color,Female_Person_of_Color,Male_Person_of_Color_under_5_years,Female_Person_of_Color_under_5_years,Male_Person_of_Color_5_17_years,Female_Person_of_Color_5_17_years,Male_Person_of_Color_65_and_over,Female_Person_of_Color_65_and_over,Total_Person_of_Color,DIVERSITY_INDEX,POP_UNDER_18
68,53033008300,8300,83,58.6727249338587,,,Tract,2505,2361,144,1774,128,28,349,9,6,67,86,5,6,2,0,28,17,2594,1937,149,47,398,12,51,2421,1860,133,34,351,9,34,84,80,9,8,40,1,15,2,2,0,0,0,0,0,2,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.7,39.2,40.5,1355,18,6,3,1,15,11,16,79,237,196,112,108,106,90,84,22,46,34,45,29,34,27,36,1150,10,3,5,4,12,12,24,93,200,138,68,59,59,43,58,23,40,15,43,70,42,54,75,10,12,205,299,950,824,4,4,6,4,146,229,405,326,14,6,4,8,59,70,731,47,50
69,53033008400,8400,84,94.5424834145286,,,Tract,3760,3528,232,2568,278,25,468,9,8,172,135,4,5,3,0,46,39,4019,2896,350,83,574,30,86,3549,2703,282,30,471,9,54,211,169,30,25,71,4,22,3,4,0,2,0,0,1,5,2,0,38,16,5,0,3,3,1,0,8,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,31.6,32.6,30.3,2075,32,17,15,22,57,23,33,190,453,324,190,179,123,100,84,34,39,16,27,24,29,28,36,1685,34,25,20,26,64,48,49,207,355,198,111,77,57,58,49,28,36,24,32,36,37,37,77,54,71,160,243,1457,1111,13,15,14,18,128,197,618,574,19,19,40,53,32,46,1192,51,191
70,53033007900,7900,79,172.588983884123,,,Tract,5147,4713,434,3276,762,33,369,8,10,255,170,10,4,3,0,199,48,5501,3695,886,129,515,30,246,4844,3446,772,37,372,8,209,303,258,45,44,91,4,22,13,21,0,5,5,0,1,3,4,0,39,20,4,0,0,3,1,2,7,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,34.6,32.5,2652,108,52,38,27,30,37,50,190,432,388,346,236,172,159,105,37,48,39,42,40,34,20,22,2495,94,49,45,38,43,53,63,197,462,367,215,147,108,112,95,46,66,45,41,57,50,39,63,117,132,197,295,1743,1533,49,41,24,26,121,169,909,962,59,53,93,106,76,126,1871,56,451
71,53033007500,7500,75,198.106622768043,,,Tract,6282,5854,428,4722,298,44,493,17,16,264,239,9,11,6,2,103,58,6650,5244,399,148,650,49,160,5960,4961,307,55,499,19,119,322,279,47,63,94,10,27,6,12,1,3,1,0,1,11,3,0,40,8,9,0,2,7,0,3,8,2,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,33.6,30.6,3489,58,35,26,20,33,37,39,234,790,625,391,336,247,170,170,59,69,34,35,34,28,13,6,2793,43,30,20,25,39,43,70,349,710,448,256,154,127,96,116,22,65,30,30,34,31,27,28,81,75,150,180,2641,2081,31,25,26,35,123,128,848,712,27,18,55,40,27,52,1560,42,257
72,53033007700,7700,77,261.506157474478,,,Tract,4476,4240,236,2852,841,12,292,5,8,230,118,12,6,3,0,64,33,4765,3178,962,96,422,14,93,4213,2970,853,18,295,5,72,263,237,48,26,101,1,10,27,10,0,3,5,0,1,5,0,0,26,15,0,0,3,1,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,35.3,35.6,2325,136,74,62,38,30,22,27,140,327,294,276,231,190,152,122,42,53,21,24,25,21,8,10,2151,120,80,53,44,18,33,20,141,304,234,236,178,121,134,136,49,65,30,31,40,26,27,31,174,177,109,185,1544,1308,72,74,66,78,35,61,781,843,64,46,108,99,74,124,1624,55,607
73,53033007300,7300,73,228.820330555421,,,Tract,4668,4340,328,3034,480,75,527,20,10,194,205,7,3,1,0,81,31,4923,3425,564,140,634,42,118,4443,3239,487,78,528,20,91,225,199,37,34,70,4,19,14,5,1,1,1,0,0,8,5,0,22,7,4,1,0,0,0,0,6,0,0,2,0,0,0,1,0,1,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,37.4,34,2660,47,12,12,10,18,17,26,169,487,412,250,219,236,207,162,57,71,45,30,32,44,62,35,2008,34,19,6,12,21,27,37,176,449,264,188,116,112,99,114,35,44,16,26,49,45,84,35,34,37,248,255,1704,1330,14,14,9,19,202,212,956,678,33,20,25,18,46,43,1634,55,152
74,53033007402,7402,74.02,61.5966172222158,,,Tract,4921,4493,428,3375,369,51,454,20,19,205,251,7,9,7,1,87,66,5234,3871,453,132,591,38,149,4650,3626,376,60,461,21,106,271,238,44,42,94,3,31,7,4,1,3,1,0,1,3,4,0,27,5,4,0,2,7,1,1,4,1,0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,30.6,32,29,2899,41,14,13,11,44,37,49,307,683,516,319,235,190,186,107,34,43,20,17,16,7,7,3,2022,34,23,7,11,56,59,72,284,566,327,168,104,74,74,55,35,28,7,13,9,3,3,10,38,41,70,45,1997,1378,14,14,16,7,50,29,902,644,27,20,22,34,20,16,1546,51,154
75,53033007600,7600,76,141.307947549908,,,Tract,3498,3329,169,2584,371,6,208,4,6,150,101,6,2,3,0,27,30,3698,2836,437,54,304,11,56,3318,2685,377,8,211,4,33,180,161,30,21,68,0,14,7,5,0,2,3,0,1,7,3,0,18,9,5,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,34.6,33.5,1707,86,59,40,22,14,11,13,105,264,257,192,180,124,95,97,27,30,21,22,13,14,12,9,1791,77,61,41,26,11,5,17,108,337,285,188,131,81,108,98,33,47,16,29,36,16,16,24,121,128,91,137,1293,1291,52,50,59,66,52,74,414,500,34,27,62,62,39,63,914,44,412
76,53033007401,7401,74.01,64.0927450390179,,,Tract,4115,3830,285,3180,92,21,329,10,9,189,166,1,3,7,1,74,33,4360,3542,153,80,450,29,106,3893,3346,93,24,336,11,83,222,204,39,43,80,4,13,5,10,0,1,1,0,0,3,4,1,15,1,2,0,0,2,0,1,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,31.8,33.3,30.3,2327,24,7,4,9,19,25,35,201,569,399,283,206,181,114,112,27,35,17,20,7,17,11,5,1788,18,9,5,3,30,40,49,235,485,298,162,98,72,55,63,26,28,13,26,26,20,9,18,20,17,77,112,1811,1369,15,13,7,8,65,99,516,419,9,5,13,9,12,13,935,39,79
77,53033006300,6300,63,571.208999006873,,,Tract,4962,4826,136,4452,53,9,184,2,0,126,94,7,1,2,0,17,15,5120,4677,75,45,288,8,27,4821,4546,60,10,186,2,17,141,124,4,19,84,0,7,0,3,0,2,2,0,0,2,0,1,17,6,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,45.5,47.4,2237,110,130,126,68,25,3,5,59,142,117,137,176,176,153,165,62,112,65,64,107,74,79,82,2725,121,140,131,72,30,4,6,86,192,133,146,191,214,185,186,94,132,73,100,105,82,123,179,324,343,471,662,2022,2430,89,90,285,298,453,628,215,295,21,31,39,45,18,34,510,19,898
78,53033006200,6200,62,627.494719498292,,,Tract,3848,3738,110,3220,89,12,235,3,24,155,77,1,3,0,0,19,10,4022,3458,137,33,333,6,55,3683,3297,90,15,235,3,43,165,156,36,8,94,3,11,1,2,0,0,1,0,0,0,0,0,9,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,40.5,41.2,1895,139,122,101,54,29,8,16,61,138,119,144,157,155,134,111,81,85,46,61,60,35,23,16,1953,136,115,114,60,20,6,14,60,119,131,161,155,138,165,142,63,108,47,51,62,37,15,34,277,289,241,246,1609,1611,116,103,216,224,212,204,286,342,23,33,61,65,29,42,628,29,841
79,53033006500,6500,65,283.568432594808,,,Tract,4157,3976,181,3536,44,14,240,4,6,132,119,2,7,3,0,25,25,4333,3803,82,61,328,9,50,4000,3655,46,21,243,4,31,157,142,19,28,74,2,10,0,4,0,1,0,0,0,2,2,0,11,5,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,36.8,34.8,2180,64,67,68,35,18,22,16,129,308,271,221,206,176,147,105,64,84,35,43,43,26,23,9,1977,66,65,49,27,37,16,29,141,335,230,173,157,89,113,135,55,80,38,42,29,32,21,18,170,141,179,180,1874,1662,47,54,140,109,171,170,306,315,17,12,30,32,8,10,621,27,441
80,53033006600,6600,66,252.567475209139,,,Tract,3540,3328,212,2722,111,18,338,9,4,126,117,8,6,1,0,56,24,3703,2974,149,61,424,19,76,3390,2839,119,24,339,9,60,150,139,18,25,64,5,12,2,7,0,0,1,0,0,3,2,0,9,2,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,35.3,31.7,1903,40,16,8,12,15,9,22,123,382,312,183,121,101,141,149,59,71,32,32,40,17,14,4,1637,39,21,15,9,16,19,19,174,385,274,135,101,55,70,88,30,64,25,34,32,13,12,7,36,45,139,123,1452,1270,22,23,23,22,125,111,451,367,18,16,13,23,14,12,818,39,160
81,53033006400,6400,64,223.286315511975,,,Tract,3207,3088,119,2699,116,5,144,3,2,119,88,0,0,1,0,22,8,3346,2904,149,23,224,13,33,3080,2787,116,5,145,3,24,127,118,21,10,66,9,3,0,5,0,0,0,0,0,1,3,0,7,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,40.3,40.3,40.4,1594,104,112,111,52,22,8,8,32,111,91,136,178,142,119,120,47,60,37,32,27,15,13,17,1613,87,114,108,47,29,9,8,48,105,112,124,162,126,107,134,55,63,32,39,33,29,20,22,275,269,141,175,1353,1346,78,74,224,211,120,149,241,267,26,13,51,58,21,26,508,29,735
82,53033006700,6700,67,304.72060609599,,,Tract,6544,6218,326,5120,180,31,586,12,14,275,194,8,3,10,0,78,33,6875,5588,272,84,781,34,116,6236,5314,188,34,596,12,92,308,286,50,38,141,7,16,2,16,0,1,1,0,0,9,5,0,21,7,6,1,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,33.7,33.1,3196,88,67,40,20,13,8,23,232,695,541,339,273,199,146,148,57,67,42,52,56,21,30,39,3348,90,57,52,27,17,23,30,329,754,462,302,214,169,154,153,50,78,51,51,56,55,60,114,127,136,240,387,2476,2644,53,60,95,106,214,350,720,704,35,30,32,30,26,37,1424,37,441
83,53033006100,6100,61,276.424774273869,,,Tract,4796,4622,174,3990,72,7,371,7,13,162,97,5,4,2,0,44,22,4989,4257,113,46,481,16,76,4612,4087,77,11,373,7,57,184,176,21,29,95,4,14,1,4,2,1,1,0,0,1,3,0,7,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,35.2,35.3,2366,70,45,44,32,17,10,22,173,425,337,217,178,121,125,135,56,85,50,56,70,55,24,19,2430,68,48,30,21,23,22,23,200,460,301,216,170,129,133,154,65,87,56,66,65,39,31,23,121,99,274,280,1991,1999,48,55,101,73,259,255,375,431,22,13,20,26,15,25,806,30,358
84,53033005400,5400,54,296.129534973639,,,Tract,4948,4726,222,3983,94,22,395,3,12,217,132,4,2,4,0,48,32,5229,4352,151,87,553,7,79,4699,4115,98,24,399,3,60,249,219,32,43,123,1,8,1,4,1,1,0,0,1,0,4,0,28,3,7,0,2,12,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8,33.4,32.1,2427,115,68,41,24,19,10,13,150,513,359,272,234,148,106,135,48,51,35,25,25,21,7,8,2521,129,66,34,25,16,8,25,233,553,361,250,179,147,125,140,60,48,22,21,29,23,10,17,133,125,121,122,1986,1997,84,87,83,76,109,105,441,524,31,42,50,49,12,17,965,34,502
85,53033005302,5302,53.02,577.317916173531,,,Tract,5706,5417,289,3067,97,24,1773,24,4,428,200,3,1,8,0,56,21,6202,3655,168,81,2135,81,82,5257,3267,100,25,1781,24,60,449,405,39,36,267,2,5,0,8,8,0,7,0,0,18,14,1,41,3,3,0,0,3,0,1,25,1,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,19.7,19.5,2671,0,0,1,15,1659,545,174,161,50,39,10,4,2,1,0,2,2,0,4,1,0,1,0,3035,0,0,0,18,2088,487,215,124,56,32,9,0,0,1,2,1,0,0,2,0,0,0,0,16,18,6,2,1535,1532,0,0,7,9,4,2,1136,1503,0,0,9,9,2,0,2639,61,34
86,53033011700,11700,117,864.560841304184,,,Tract,5538,5179,359,651,1447,29,2760,31,4,257,155,21,10,8,2,107,56,5932,1004,1656,150,2902,65,155,5225,806,1468,39,2768,33,111,313,251,63,20,48,3,14,39,25,6,4,2,0,3,10,14,0,43,14,10,0,1,5,0,0,1,0,0,1,4,3,1,0,0,3,0,0,0,19,10,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,35.6,38.7,2773,197,191,196,132,71,46,40,123,206,158,187,197,208,194,182,59,72,49,60,76,51,46,32,2765,162,189,175,102,79,35,18,89,194,193,204,202,176,197,210,80,85,46,55,80,70,67,57,519,466,314,375,327,324,11,13,20,21,50,60,2446,2441,186,149,499,445,264,315,4887,66,1344
87,53033011800,11800,118,573.963979528183,,,Tract,7383,6568,815,1515,2612,58,1941,85,17,340,233,49,16,8,4,402,103,7907,2029,2897,200,2123,127,531,6940,1748,2661,74,1949,89,419,443,379,82,35,64,3,43,46,20,4,26,8,1,0,13,33,1,47,17,12,1,6,0,0,0,3,1,0,5,1,0,1,0,0,0,0,0,0,17,5,3,0,3,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,35.7,35,36.1,3606,285,238,214,158,90,47,42,154,314,261,271,271,278,262,237,67,87,55,77,79,52,41,26,3777,288,238,219,146,117,53,43,133,297,268,307,268,232,288,276,94,118,63,61,89,60,55,64,610,603,330,392,745,770,41,40,56,69,93,108,2861,3007,244,248,554,534,237,284,5868,75,1786
88,53033026400,26400,264,15.9062508076155,,,Tract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0
89,53033026500,26500,265,100.501930793937,,,Tract,81,63,18,24,10,2,19,4,0,4,1,0,0,5,0,11,1,87,29,12,4,26,5,11,76,25,10,2,24,4,11,5,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8,43.5,41.2,44,4,2,2,3,1,0,2,0,3,2,1,4,7,3,3,0,3,0,0,1,0,1,2,37,1,3,2,1,2,0,0,2,2,3,2,3,2,2,2,1,1,2,2,2,0,1,1,7,6,4,8,13,11,0,0,1,0,1,3,31,26,4,1,6,6,3,5,57,75,18
90,53033011002,11002,110.02,414.167557976963,,,Tract,4479,4292,187,393,1124,20,2532,26,3,194,43,16,0,15,0,95,18,4732,558,1219,80,2677,58,140,4267,436,1140,20,2547,26,98,212,173,20,17,49,0,7,11,15,5,3,5,1,1,12,21,6,37,11,5,0,0,4,0,0,5,2,0,8,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,33.4,36,2174,163,189,180,116,65,37,34,95,143,103,150,168,157,140,133,46,53,25,31,62,44,24,16,2305,172,193,165,110,48,29,31,85,142,135,179,159,163,153,161,57,66,44,49,68,45,27,24,485,468,202,257,210,183,19,12,18,16,20,34,1964,2122,144,160,467,452,182,223,4086,61,1288
91,53033011001,11001,110.01,264.588122190909,,,Tract,4534,4244,290,570,1440,15,1969,43,5,202,98,25,1,12,0,117,37,4806,803,1606,80,2098,65,154,4295,668,1465,16,1981,43,122,239,211,47,13,43,0,7,20,29,10,11,8,0,1,11,11,0,23,12,6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,33.9,35.8,2135,196,180,156,103,61,24,30,86,130,137,162,160,145,107,110,34,54,31,43,72,53,34,27,2399,179,191,165,90,59,34,28,86,155,186,194,148,155,123,132,67,50,33,65,91,61,63,44,439,446,260,357,260,310,15,20,12,8,41,81,1875,2089,181,159,427,438,219,276,3964,69,1260
92,53033011102,11102,111.02,320.707701028402,,,Tract,4419,3915,504,1772,692,12,1205,33,16,185,166,32,2,11,3,250,40,4687,2106,832,69,1311,58,311,4194,1938,724,14,1216,36,266,225,186,40,22,43,2,25,8,11,0,13,1,0,1,14,6,0,35,19,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,37.6,39.1,2183,178,152,127,82,40,41,21,64,138,165,167,166,152,140,146,56,56,40,44,68,45,35,60,2236,167,161,115,72,47,16,33,78,138,146,177,151,127,143,159,61,60,42,40,70,40,53,140,361,348,292,385,838,934,61,70,106,111,163,226,1345,1302,117,97,255,237,129,159,2647,73,1054
93,53033011101,11101,111.01,284.255930239791,,,Tract,4390,4138,252,552,1177,10,2092,89,16,202,104,16,3,6,0,102,21,4658,775,1299,68,2233,125,158,4167,656,1193,13,2098,89,118,223,184,39,7,32,3,3,15,20,1,3,7,0,0,24,30,0,33,13,3,2,1,6,0,0,3,1,0,3,0,0,0,0,0,0,0,0,1,6,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3,37.5,39.1,2089,126,117,138,80,70,18,23,93,156,143,152,179,158,132,141,49,68,38,42,76,36,25,29,2301,125,144,135,90,71,27,27,89,153,157,160,167,139,168,137,71,96,41,53,92,69,42,48,335,369,246,345,250,302,15,17,13,17,23,43,1839,1999,111,108,322,352,223,302,3838,68,955
94,53033010200,10200,102,688.642476655597,,,Tract,4835,4576,259,2720,763,5,808,21,8,251,138,23,6,5,0,55,32,5168,3081,938,85,928,45,91,4552,2858,786,11,813,21,63,283,237,80,25,55,4,15,11,20,0,4,4,0,1,12,4,2,43,23,8,1,1,5,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,41.6,41.4,41.9,2307,185,136,144,76,43,18,18,54,91,135,184,239,188,184,180,58,92,42,48,52,47,49,44,2528,171,146,121,79,43,20,15,46,129,174,230,213,189,191,204,86,97,47,57,70,72,59,69,356,346,282,374,1318,1402,123,96,194,182,141,193,989,1126,62,75,162,164,141,181,2115,63,1058
95,53033010300,10300,103,410.244940111841,,,Tract,5940,5412,528,1949,1589,41,1473,41,18,301,214,27,22,16,0,190,59,6353,2423,1786,171,1658,61,254,5580,2163,1616,63,1489,41,208,360,312,71,38,80,1,26,30,28,1,4,15,0,0,8,10,0,43,17,11,1,1,2,1,0,5,1,0,1,0,0,0,0,0,0,0,0,3,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,38.7,2941,226,202,155,93,64,27,31,96,215,246,295,267,237,209,180,69,93,39,46,66,34,18,33,2999,193,157,141,88,45,24,22,103,226,287,288,270,216,217,205,74,80,44,52,73,61,47,86,450,386,236,363,972,977,61,53,95,59,44,83,1969,2022,165,140,355,327,192,280,3991,75,1255
