start,end,day_count
2021-11-02T08:45:32.000Z,2021-11-03T00:00:00.000Z,114002
2021-11-03T00:00:00.000Z,2021-11-04T00:00:00.000Z,152682
2021-11-04T00:00:00.000Z,2021-11-05T00:00:00.000Z,127787
2021-11-05T00:00:00.000Z,2021-11-06T00:00:00.000Z,112297
2021-11-06T00:00:00.000Z,2021-11-07T00:00:00.000Z,141573
2021-11-07T00:00:00.000Z,2021-11-08T00:00:00.000Z,127473
2021-11-08T00:00:00.000Z,2021-11-09T00:00:00.000Z,153243
2021-11-09T00:00:00.000Z,2021-11-09T08:45:32.000Z,44424
